feature_family,component,descriptor_classes,language,ceiling_r2,ceiling_gain
local_sensitivity_profile,output_0_sensitivity_1,736,NAND,0.9017457478640984,0.008301216240236498
local_sensitivity_profile,output_0_sensitivity_1,736,NOR,0.9020599699083787,0.008615438284516719
local_sensitivity_profile,output_0_sensitivity_1,736,AND_OR_NOT,0.9417495395304903,0.011127612734988745
local_sensitivity_profile,output_0_sensitivity_2,762,NAND,0.9037531224466211,0.010308590822759145
local_sensitivity_profile,output_0_sensitivity_2,762,NOR,0.904710127359611,0.011265595735749034
local_sensitivity_profile,output_0_sensitivity_2,762,AND_OR_NOT,0.9450823947463775,0.014460467950875855
local_sensitivity_profile,output_0_sensitivity_3,742,NAND,0.9017290164673578,0.008284484843495865
local_sensitivity_profile,output_0_sensitivity_3,742,NOR,0.9026070059244453,0.009162474300583368
local_sensitivity_profile,output_0_sensitivity_3,742,AND_OR_NOT,0.9417175758603924,0.0110956490648908
local_sensitivity_profile,output_0_sensitivity_4,719,NAND,0.897344096471027,0.003899564847165027
local_sensitivity_profile,output_0_sensitivity_4,719,NOR,0.8975318430744567,0.004087311450594711
local_sensitivity_profile,output_0_sensitivity_4,719,AND_OR_NOT,0.9362456710062815,0.005623744210779935
local_sensitivity_profile,output_1_sensitivity_0,715,NAND,0.89827611558522,0.004831583961358077
local_sensitivity_profile,output_1_sensitivity_0,715,NOR,0.8977878159739536,0.004343284350091681
local_sensitivity_profile,output_1_sensitivity_0,715,AND_OR_NOT,0.9358384864626038,0.005216559667102216
local_sensitivity_profile,output_1_sensitivity_1,736,NAND,0.9020599699083787,0.008615438284516719
local_sensitivity_profile,output_1_sensitivity_1,736,NOR,0.9017457478640984,0.008301216240236498
local_sensitivity_profile,output_1_sensitivity_1,736,AND_OR_NOT,0.9417495395304903,0.011127612734988745
local_sensitivity_profile,output_1_sensitivity_2,762,NAND,0.904710127359611,0.011265595735749034
local_sensitivity_profile,output_1_sensitivity_2,762,NOR,0.9037531224466211,0.010308590822759145
local_sensitivity_profile,output_1_sensitivity_2,762,AND_OR_NOT,0.9450823947463775,0.014460467950875855
local_sensitivity_profile,output_1_sensitivity_3,742,NAND,0.9026070059244453,0.009162474300583368
local_sensitivity_profile,output_1_sensitivity_3,742,NOR,0.9017290164673579,0.008284484843495976
local_sensitivity_profile,output_1_sensitivity_3,742,AND_OR_NOT,0.9417175758603924,0.0110956490648908
local_sensitivity_profile,output_1_sensitivity_4,719,NAND,0.8975318430744567,0.004087311450594711
local_sensitivity_profile,output_1_sensitivity_4,719,NOR,0.897344096471027,0.003899564847165027
local_sensitivity_profile,output_1_sensitivity_4,719,AND_OR_NOT,0.9362456710062815,0.005623744210779935
constant_restriction_profile,codimension_1_output_0,675,NAND,0.893444531623862,0.0
constant_restriction_profile,codimension_1_output_0,675,NOR,0.893444531623862,0.0
constant_restriction_profile,codimension_1_output_0,675,AND_OR_NOT,0.9306219267955016,0.0
constant_restriction_profile,codimension_1_output_1,675,NAND,0.893444531623862,0.0
constant_restriction_profile,codimension_1_output_1,675,NOR,0.893444531623862,0.0
constant_restriction_profile,codimension_1_output_1,675,AND_OR_NOT,0.9306219267955016,0.0
constant_restriction_profile,codimension_2_output_0,733,NAND,0.900363446487224,0.006918914863362047
constant_restriction_profile,codimension_2_output_0,733,NOR,0.9005112588385368,0.007066727214674828
constant_restriction_profile,codimension_2_output_0,733,AND_OR_NOT,0.9397967043283981,0.009174777532896528
constant_restriction_profile,codimension_2_output_1,733,NAND,0.9005112588385368,0.007066727214674828
constant_restriction_profile,codimension_2_output_1,733,NOR,0.900363446487224,0.006918914863362047
constant_restriction_profile,codimension_2_output_1,733,AND_OR_NOT,0.9397967043283981,0.009174777532896528
constant_restriction_profile,codimension_3_output_0,675,NAND,0.893444531623862,0.0
constant_restriction_profile,codimension_3_output_0,675,NOR,0.893444531623862,0.0
constant_restriction_profile,codimension_3_output_0,675,AND_OR_NOT,0.9306219267955016,0.0
constant_restriction_profile,codimension_3_output_1,675,NAND,0.893444531623862,0.0
