truth_table,inputs,exact_minimum_gates,classical_lower_k_plus_1,existing_upper_k_plus_1,khrapchenko_product,decision_tree_leaf_count,mean_certificate_size,maximum_certificate_size,mean_certificate_size_output_0,mean_certificate_size_output_1,anf_terms_degree_0,fourier_negative_degree_0,anf_terms_degree_1,fourier_negative_degree_1,anf_terms_degree_2,fourier_negative_degree_2,anf_terms_degree_3,fourier_negative_degree_3,anf_terms_degree_4,fourier_negative_degree_4,and_factorable_partitions,or_factorable_partitions,canalizing_variable_count,restriction_upper_k_plus_1,factor_upper_k_plus_1,classical_width,restriction_gain,factor_gain,construction_upper_k_plus_1,exact_k_plus_1,true_slack,predicted_residual_slack,learned_reduction_beyond_construction,refined_upper_k_plus_1,cohort,covered,violation,residual_slack,model,risk_stratum,predicted_residual_slack_v3,selective_reduction,selective_upper_k_plus_1,covered_v3
4093677780,5,13,4.16017316017316,18.0,4.16017316017316,12.0,2.71875,4.0,2.238095238095238,3.636363636363636,0.0,1.0,2.0,3.0,6.0,4.0,5.0,6.0,2.0,4.0,0.0,0.0,0.0,17.0,189.0,13.83982683982684,1.0,0.0,17.0,14,4.0,3.131032590465976,1.2310308297529309,15.768969170247068,targeted,True,0.0,3.0,student,medium,2.4755781732457605,0.6376994163067127,16.362300583693287,True
319891255,5,13,3.111111111111111,19.0,3.111111111111111,11.0,2.59375,4.0,2.2777777777777777,3.0,1.0,1.0,0.0,0.0,5.0,2.0,6.0,4.0,4.0,2.0,0.0,0.0,0.0,16.0,189.0,15.88888888888889,3.0,0.0,16.0,14,5.0,3.126794775525379,1.2267930148123338,14.773206985187668,targeted,True,0.0,2.0,student,medium,2.5770600814168847,0.7391813244778369,15.260818675522163,True
1409661375,5,13,4.803921568627451,31.0,4.803921568627451,14.0,3.0,4.0,2.8,3.176470588235294,1.0,0.0,0.0,0.0,6.0,4.0,5.0,5.0,4.0,5.0,0.0,0.0,0.0,18.0,189.0,26.19607843137255,13.0,0.0,18.0,14,17.0,3.1226391546639345,1.2226373939508894,16.77736260604911,targeted,True,0.0,4.0,student,medium,2.5770600814168847,0.7391813244778369,17.260818675522163,True
2937258263,5,13,4.063492063492063,25.0,4.063492063492063,13.0,3.03125,4.0,3.0,3.071428571428572,1.0,1.0,0.0,1.0,7.0,0.0,3.0,4.0,2.0,4.0,0.0,0.0,0.0,17.0,189.0,20.936507936507937,8.0,0.0,17.0,14,11.0,3.109949047722581,1.2099472870095358,15.790052712990464,targeted,True,0.0,3.0,student,medium,2.5770600814168847,0.7391813244778369,16.260818675522163,True
3356325687,5,13,4.803921568627451,23.0,4.803921568627451,12.0,2.90625,4.0,3.066666666666667,2.764705882352941,1.0,0.0,0.0,1.0,5.0,4.0,6.0,6.0,3.0,4.0,0.0,0.0,0.0,18.0,189.0,18.19607843137255,5.0,0.0,18.0,14,9.0,3.0838873666493964,1.1838856059363514,16.81611439406365,targeted,True,0.0,4.0,student,medium,2.5770600814168847,0.7391813244778369,17.260818675522163,True
3358969631,5,13,5.142857142857143,27.0,5.142857142857143,12.0,2.90625,4.0,3.2857142857142856,2.611111111111111,1.0,0.0,0.0,1.0,5.0,1.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,18.0,189.0,21.857142857142858,9.0,0.0,18.0,14,13.0,3.064207956309332,1.1642061955962868,16.835793804403714,targeted,True,0.0,4.0,student,medium,2.5770600814168847,0.7391813244778369,17.260818675522163,True
2094803968,5,13,3.890688259109312,17.0,3.890688259109312,11.0,2.65625,4.0,2.3157894736842106,3.1538461538461537,0.0,1.0,0.0,4.0,3.0,7.0,5.0,3.0,4.0,3.0,0.0,0.0,0.0,16.0,189.0,13.10931174089069,1.0,0.0,16.0,14,3.0,3.030814297103581,1.130812536390536,14.869187463609464,targeted,True,0.0,2.0,student,medium,2.4755781732457605,0.6376994163067127,15.362300583693287,True
72688679,5,13,3.6406926406926408,18.0,3.6406926406926408,11.0,2.71875,4.0,2.4285714285714284,3.272727272727273,1.0,1.0,2.0,0.0,6.0,4.0,5.0,5.0,2.0,2.0,0.0,0.0,0.0,17.0,189.0,14.359307359307358,1.0,0.0,17.0,14,4.0,3.022262064610492,1.122260303897447,15.877739696102552,targeted,True,0.0,3.0,student,medium,2.4755781732457605,0.6376994163067127,16.362300583693287,True
813541900,5,13,4.587301587301587,18.0,4.587301587301587,13.0,3.0625,4.0,3.111111111111111,3.0,0.0,1.0,2.0,2.0,6.0,5.0,6.0,1.0,2.0,3.0,0.0,0.0,0.0,18.0,189.0,13.412698412698411,0.0,0.0,18.0,14,4.0,2.992038546463059,1.0920367857500135,16.907963214249985,targeted,True,0.0,4.0,student,high,3.337746190954004,2.739181324477837,15.260818675522163,True
819988714,5,13,3.6406926406926408,18.0,3.6406926406926408,11.0,2.71875,4.0,2.4285714285714284,3.272727272727273,0.0,1.0,1.0,3.0,3.0,8.0,6.0,4.0,4.0,4.0,0.0,0.0,0.0,17.0,189.0,14.359307359307358,1.0,0.0,17.0,14,4.0,2.9421152234755428,1.0421134627624975,15.957886537237504,targeted,True,0.0,3.0,student,medium,2.4755781732457605,0.6376994163067127,16.362300583693287,True
