language,contact,truth_table,truth_table_hex,phase_permutation_orbit_hex,anf,minimum_gates,khrapchenko_product,decision_tree_leaves,lower,upper,active_upper_source,cover_cost_k_plus_1,cover_construction,tied_cover_constructions,cover_cubes_01_dash
AND_OR_NOT,upper,57295,0xdfcf,0x008a,1 + x2 + x1*x2 + x2*x3 + x0*x2*x3 + x1*x2*x3 + x0*x1*x2*x3,5,1.641025641025641,5,1.641025641025641,6.0,exact prime cover,6,DNF(f),DNF(f),--0- -1-- 0--1
AND_OR_NOT,upper,57301,0xdfd5,0x028a,1 + x0 + x0*x1*x2 + x0*x3 + x0*x2*x3,6,2.083333333333333,5,2.083333333333333,7.0,exact prime cover,7,DNF(f),DNF(f),0--- -11- --01
AND_OR_NOT,upper,57309,0xdfdd,0x008a,1 + x0 + x0*x1 + x0*x3 + x0*x1*x3 + x0*x2*x3 + x0*x1*x2*x3,5,1.641025641025641,5,1.641025641025641,6.0,exact prime cover,6,DNF(f),DNF(f),0--- -1-- --01
AND_OR_NOT,upper,57344,0xe000,0x1fff,x0*x2*x3 + x1*x2*x3 + x0*x1*x2*x3,3,1.641025641025641,5,1.641025641025641,4.0,exact prime cover,4,CNF(f),CNF(f),---0 --0- 00--
AND_OR_NOT,upper,57376,0xe020,0x1bff,x0*x2 + x0*x1*x2 + x1*x2*x3,5,2.083333333333333,5,2.083333333333333,6.0,exact prime cover,6,CNF(f),CNF(f),--0- 00-- -1-0
AND_OR_NOT,upper,57408,0xe040,0x1bff,x1*x2 + x0*x1*x2 + x0*x2*x3,5,2.083333333333333,5,2.083333333333333,6.0,exact prime cover,6,CNF(f),CNF(f),--0- 00-- 1--0
AND_OR_NOT,upper,57568,0xe0e0,0x03ff,x0*x2 + x1*x2 + x0*x1*x2,2,1.6666666666666667,4,1.6666666666666667,3.0,exact prime cover,3,CNF(f),CNF(f),--0- 00--
AND_OR_NOT,upper,57582,0xe0ee,0x03ab,x0 + x1 + x0*x1 + x0*x3 + x1*x3 + x0*x1*x3 + x0*x2*x3 + x1*x2*x3 + x0*x1*x2*x3,4,2.2857142857142856,7,2.2857142857142856,5.0,exact prime cover,5,CNF(f),CNF(f),00-- --01
AND_OR_NOT,upper,57584,0xe0f0,0x02ff,x2 + x2*x3 + x0*x2*x3 + x1*x2*x3 + x0*x1*x2*x3,4,1.5873015873015874,5,1.5873015873015874,5.0,exact prime cover,5,CNF(f),CNF(f),--0- 00-1
AND_OR_NOT,upper,57856,0xe200,0x1bff,x0*x3 + x0*x1*x3 + x1*x2*x3,5,2.083333333333333,5,2.083333333333333,6.0,exact prime cover,6,CNF(f),CNF(f),---0 00-- -10-
AND_OR_NOT,upper,57890,0xe222,0x1bbb,x0 + x0*x1 + x1*x2*x3,5,2.4,5,2.4,6.0,exact prime cover,6,DNF(f),DNF(f),10-- -111
AND_OR_NOT,upper,57920,0xe240,0x1bdf,x1*x2 + x0*x1*x2 + x0*x3 + x0*x1*x3 + x0*x1*x2*x3,7,2.6181818181818177,7,2.6181818181818177,8.0,exact prime cover,8,CNF(f),CNF(f),00-- 1--0 -10-
AND_OR_NOT,upper,58048,0xe2c0,0x07f7,x1*x2 + x0*x3 + x0*x1*x3,5,2.4,5,2.4,6.0,exact prime cover,6,DNF(f),DNF(f),-11- 10-1
AND_OR_NOT,upper,58082,0xe2e2,0x03cf,x0 + x0*x1 + x1*x2,4,2.25,4,2.25,5.0,exact prime cover,5,CNF(f),DNF(f);CNF(f),00-- -10-
AND_OR_NOT,upper,58099,0xe2f3,0x02ce,1 + x1 + x1*x2 + x3 + x0*x3 + x1*x3 + x0*x1*x3,6,2.4,5,2.4,7.0,exact prime cover,7,CNF(f),CNF(f),-10- 00-1
AND_OR_NOT,upper,58111,0xe2ff,0x028a,1 + x3 + x0*x3 + x0*x1*x3 + x1*x2*x3,6,2.083333333333333,5,2.083333333333333,7.0,exact prime cover,7,DNF(f),DNF(f),---0 10-- -11-
AND_OR_NOT,upper,58368,0xe400,0x1bff,x1*x3 + x0*x1*x3 + x0*x2*x3,5,2.083333333333333,5,2.083333333333333,6.0,exact prime cover,6,CNF(f),CNF(f),---0 00-- 1-0-
AND_OR_NOT,upper,58400,0xe420,0x1bdf,x0*x2 + x0*x1*x2 + x1*x3 + x0*x1*x3 + x0*x1*x2*x3,7,2.6181818181818177,7,2.6181818181818177,8.0,exact prime cover,8,CNF(f),CNF(f),00-- 1-0- -1-0
AND_OR_NOT,upper,58436,0xe444,0x1bbb,x1 + x0*x1 + x0*x2*x3,5,2.4,5,2.4,6.0,exact prime cover,6,DNF(f),DNF(f),01-- 1-11
AND_OR_NOT,upper,58528,0xe4a0,0x07f7,x0*x2 + x1*x3 + x0*x1*x3,5,2.4,5,2.4,6.0,exact prime cover,6,DNF(f),DNF(f),1-1- 01-1
AND_OR_NOT,upper,58596,0xe4e4,0x03cf,x1 + x0*x1 + x0*x2,4,2.25,4,2.25,5.0,exact prime cover,5,CNF(f),DNF(f);CNF(f),00-- 1-0-
AND_OR_NOT,upper,58613,0xe4f5,0x02ce,1 + x0 + x0*x2 + x3 + x0*x3 + x1*x3 + x0*x1*x3,6,2.4,5,2.4,7.0,exact prime cover,7,CNF(f),CNF(f),1-0- 00-1
AND_OR_NOT,upper,58623,0xe4ff,0x028a,1 + x3 + x1*x3 + x0*x1*x3 + x0*x2*x3,6,2.083333333333333,5,2.083333333333333,7.0,exact prime cover,7,DNF(f),DNF(f),---0 01-- 1-1-
AND_OR_NOT,upper,59968,0xea40,0x07f7,x1*x2 + x0*x1*x2 + x0*x3,5,2.4,5,2.4,6.0,exact prime cover,6,DNF(f),DNF(f),011- 1--1
AND_OR_NOT,upper,60074,0xeaaa,0x007f,x0 + x1*x2*x3 + x0*x1*x2*x3,3,1.5873015873015874,5,1.5873015873015874,4.0,exact prime cover,4,DNF(f),DNF(f),1--- -111
AND_OR_NOT,upper,60096,0xeac0,0x0777,x1*x2 + x0*x3 + x0*x1*x2*x3,3,2.2857142857142856,7,2.2857142857142856,4.0,exact prime cover,4,DNF(f),DNF(f),-11- 1--1
AND_OR_NOT,upper,60138,0xeaea,0x003f,x0 + x1*x2 + x0*x1*x2,2,1.6666666666666667,4,1.6666666666666667,3.0,exact prime cover,3,DNF(f),DNF(f),1--- -11-
AND_OR_NOT,upper,60159,0xeaff,0x002a,1 + x3 + x0*x3 + x1*x2*x3 + x0*x1*x2*x3,4,1.641025641025641,5,1.641025641025641,5.0,exact prime cover,5,DNF(f),DNF(f),---0 1--- -11-
AND_OR_NOT,upper,60448,0xec20,0x07f7,x0*x2 + x0*x1*x2 + x1*x3,5,2.4,5,2.4,6.0,exact prime cover,6,DNF(f),DNF(f),101- -1-1
AND_OR_NOT,upper,60576,0xeca0,0x0777,x0*x2 + x1*x3 + x0*x1*x2*x3,3,2.2857142857142856,7,2.2857142857142856,4.0,exact prime cover,4,DNF(f),DNF(f),1-1- -1-1
AND_OR_NOT,upper,60620,0xeccc,0x007f,x1 + x0*x2*x3 + x0*x1*x2*x3,3,1.5873015873015874,5,1.5873015873015874,4.0,exact prime cover,4,DNF(f),DNF(f),-1-- 1-11
AND_OR_NOT,upper,60652,0xecec,0x003f,x1 + x0*x2 + x0*x1*x2,2,1.6666666666666667,4,1.6666666666666667,3.0,exact prime cover,3,DNF(f),DNF(f),-1-- 1-1-
AND_OR_NOT,upper,60671,0xecff,0x002a,1 + x3 + x1*x3 + x0*x2*x3 + x0*x1*x2*x3,4,1.641025641025641,5,1.641025641025641,5.0,exact prime cover,5,DNF(f),DNF(f),---0 -1-- 1-1-
AND_OR_NOT,upper,60928,0xee00,0x03ff,x0*x3 + x1*x3 + x0*x1*x3,2,1.6666666666666667,4,1.6666666666666667,3.0,exact prime cover,3,CNF(f),CNF(f),---0 00--
AND_OR_NOT,upper,60942,0xee0e,0x03ab,x0 + x1 + x0*x1 + x0*x2 + x1*x2 + x0*x1*x2 + x0*x2*x3 + x1*x2*x3 + x0*x1*x2*x3,4,2.2857142857142856,7,2.2857142857142856,5.0,exact prime cover,5,CNF(f),CNF(f),00-- --10
AND_OR_NOT,upper,60962,0xee22,0x03cf,x0 + x0*x1 + x1*x3,4,2.25,4,2.25,5.0,exact prime cover,5,CNF(f),DNF(f);CNF(f),00-- -1-0
AND_OR_NOT,upper,60996,0xee44,0x03cf,x1 + x0*x1 + x0*x3,4,2.25,4,2.25,5.0,exact prime cover,5,CNF(f),DNF(f);CNF(f),00-- 1--0
AND_OR_NOT,upper,61098,0xeeaa,0x003f,x0 + x1*x3 + x0*x1*x3,2,1.6666666666666667,4,1.6666666666666667,3.0,exact prime cover,3,DNF(f),DNF(f),1--- -1-1
AND_OR_NOT,upper,61132,0xeecc,0x003f,x1 + x0*x3 + x0*x1*x3,2,1.6666666666666667,4,1.6666666666666667,3.0,exact prime cover,3,DNF(f),DNF(f),-1-- 1--1
AND_OR_NOT,upper,61152,0xeee0,0x0357,x0*x2 + x1*x2 + x0*x1*x2 + x0*x3 + x1*x3 + x0*x1*x3 + x0*x2*x3 + x1*x2*x3 + x0*x1*x2*x3,3,2.2857142857142856,7,2.2857142857142856,4.0,exact prime cover,4,CNF(f),CNF(f),--00 00--
AND_OR_NOT,upper,61154,0xeee2,0x0257,x0 + x0*x1 + x1*x2 + x1*x3 + x1*x2*x3,5,2.4,5,2.4,6.0,exact prime cover,6,CNF(f),CNF(f),00-- -100
AND_OR_NOT,upper,61156,0xeee4,0x0257,x1 + x0*x1 + x0*x2 + x0*x3 + x0*x2*x3,5,2.4,5,2.4,6.0,exact prime cover,6,CNF(f),CNF(f),00-- 1-00
AND_OR_NOT,upper,61166,0xeeee,0x000f,x0 + x1 + x0*x1,1,1.3333333333333333,3,1.3333333333333333,2.0,exact prime cover,2,CNF(f),DNF(f);CNF(f),00--
AND_OR_NOT,upper,61168,0xeef0,0x0257,x2 + x0*x3 + x1*x3 + x0*x1*x3 + x2*x3,5,2.4,5,2.4,6.0,exact prime cover,6,CNF(f),CNF(f),--00 00-1
AND_OR_NOT,upper,61170,0xeef2,0x0247,x0 + x0*x1 + x2 + x0*x2 + x0*x1*x2 + x1*x3 + x2*x3 + x0*x2*x3 + x0*x1*x2*x3,7,2.6181818181818177,7,2.6181818181818177,8.0,exact prime cover,8,DNF(f),DNF(f),10-- --10 -1-1
AND_OR_NOT,upper,61172,0xeef4,0x0247,x1 + x0*x1 + x2 + x1*x2 + x0*x1*x2 + x0*x3 + x2*x3 + x1*x2*x3 + x0*x1*x2*x3,7,2.6181818181818177,7,2.6181818181818177,8.0,exact prime cover,8,DNF(f),DNF(f),01-- --10 1--1
AND_OR_NOT,upper,61178,0xeefa,0x001b,x0 + x2 + x0*x2 + x1*x3 + x0*x1*x3 + x2*x3 + x0*x2*x3,5,2.083333333333333,5,2.083333333333333,6.0,exact prime cover,6,DNF(f),DNF(f),1--- --10 -1-1
AND_OR_NOT,upper,61180,0xeefc,0x001b,x1 + x2 + x1*x2 + x0*x3 + x0*x1*x3 + x2*x3 + x1*x2*x3,5,2.083333333333333,5,2.083333333333333,6.0,exact prime cover,6,DNF(f),DNF(f),-1-- --10 1--1
AND_OR_NOT,upper,61182,0xeefe,0x000b,x0 + x1 + x0*x1 + x2 + x0*x2 + x1*x2 + x0*x1*x2 + x2*x3 + x0*x2*x3 + x1*x2*x3 + x0*x1*x2*x3,4,1.641025641025641,5,1.641025641025641,5.0,exact prime cover,5,DNF(f),DNF(f),1--- -1-- --10
AND_OR_NOT,upper,61183,0xeeff,0x000a,1 + x3 + x0*x3 + x1*x3 + x0*x1*x3,3,1.2857142857142856,4,1.2857142857142856,4.0,exact prime cover,4,CNF(f),DNF(f);CNF(f),00-1
