feature,status,family,language,distinct_values,pearson_r,spearman_rho,eta_squared,adjusted_eta_squared,expected_null_eta_squared,conditional_ceiling_gain
fourier_zero_degree_4,new,Fourier shape,NAND,2,-0.2359274659011067,-0.2282764191655573,0.05566176916651784,0.05564735926889475,1.5259021896696422e-05,0.0
fourier_zero_degree_4,new,Fourier shape,NOR,2,-0.2359274659011067,-0.2282764191655573,0.05566176916651784,0.05564735926889475,1.5259021896696422e-05,0.0
fourier_zero_degree_4,new,Fourier shape,AND_OR_NOT,2,-0.22584753546542258,-0.2178089646023619,0.05100710927580531,0.05099262835154128,1.5259021896696422e-05,0.0
sensitivity_variance,new,local sensitivity,NAND,17,0.3748091726671065,0.35652851945904723,0.1434913349699525,0.14328217215244177,0.00024414435034714275,0.0
sensitivity_variance,new,local sensitivity,NOR,17,0.3748091726671065,0.35652851945904723,0.1434913349699525,0.14328217215244177,0.00024414435034714275,0.0
sensitivity_variance,new,local sensitivity,AND_OR_NOT,17,0.3084276275535526,0.29396266105442903,0.10173795723249378,0.10151859807432173,0.00024414435034714275,0.0
maximum_local_sensitivity,new,local sensitivity,NAND,5,0.6199609260584823,0.6248779198339881,0.38571909983138514,0.38568160423997533,6.103608758678569e-05,0.004663722438222884
maximum_local_sensitivity,new,local sensitivity,NOR,5,0.6199609260584823,0.6248779198339881,0.38571909983138514,0.38568160423997533,6.103608758678569e-05,0.004663722438222773
maximum_local_sensitivity,new,local sensitivity,AND_OR_NOT,5,0.6035496734949227,0.6033696345353035,0.3661655128943647,0.3661268237556605,6.103608758678569e-05,0.008586617407356223
zero_conditional_sensitivity,new,local sensitivity,NAND,55,0.19840729074714775,0.1705080820430691,0.5233097038649895,0.5229165932528839,0.0008239871824216068,0.0
zero_conditional_sensitivity,new,local sensitivity,NOR,55,0.6588431120616658,0.6554739079365027,0.6570810878197394,0.6567982940130209,0.0008239871824216068,0.0
zero_conditional_sensitivity,new,local sensitivity,AND_OR_NOT,55,0.43674526317643153,0.42384081982164384,0.5600296647742845,0.5596668358910636,0.0008239871824216068,0.0
one_conditional_sensitivity,new,local sensitivity,NAND,55,0.6588431120616662,0.6554739079365027,0.6570810878197394,0.6567982940130209,0.0008239871824216068,0.0
one_conditional_sensitivity,new,local sensitivity,NOR,55,0.19840729074714775,0.1705080820430691,0.5233097038649895,0.5229165932528839,0.0008239871824216068,0.0
one_conditional_sensitivity,new,local sensitivity,AND_OR_NOT,55,0.4367452631764318,0.42384081982164384,0.5600296647742846,0.5596668358910637,0.0008239871824216068,0.0
khrapchenko_product,new,local sensitivity,NAND,44,0.8275826766767482,0.8142199711467001,0.7154998647782863,0.7153130708826267,0.0006561379415579462,0.0
khrapchenko_product,new,local sensitivity,NOR,44,0.8275826766767473,0.8142199711467001,0.7154998647782863,0.7153130708826267,0.0006561379415579462,0.0
khrapchenko_product,new,local sensitivity,AND_OR_NOT,44,0.8793221864214389,0.8724250993038046,0.8013052556526307,0.8011747988944474,0.0006561379415579462,0.0
order_2_derivative_std,new,higher derivatives,NAND,23,-0.21274973292620403,-0.17769489655816234,0.07253637790970072,0.07222492522571444,0.0003356984817273213,0.004938063542173632
order_2_derivative_std,new,higher derivatives,NOR,23,-0.21274973292620403,-0.17769489655816234,0.07253637790970072,0.07222492522571444,0.0003356984817273213,0.004938063542173632
order_2_derivative_std,new,higher derivatives,AND_OR_NOT,23,-0.2042185121827708,-0.17018523969175192,0.06912239002145934,0.06880979088205919,0.0003356984817273213,0.008988478576100634
order_2_derivative_max,new,higher derivatives,NAND,9,-0.3137825791957259,-0.28250778566228196,0.10033228706181432,0.10022244925902302,0.00012207217517357137,0.0008647231149724321
order_2_derivative_max,new,higher derivatives,NOR,9,-0.3137825791957259,-0.28250778566228196,0.10033228706181432,0.10022244925902302,0.00012207217517357137,0.0008647231149724321
order_2_derivative_max,new,higher derivatives,AND_OR_NOT,9,-0.23687242232940062,-0.22031458667074597,0.05723785388754164,0.0571227548112998,0.00012207217517357137,0.0014649027829843897
order_3_derivative_std,new,higher derivatives,NAND,14,-0.13225802755692598,-0.10157592640652228,0.026963091515042212,0.02677003452944493,0.00019836728465705348,0.003845245352506521
order_3_derivative_std,new,higher derivatives,NOR,14,-0.1322580275569258,-0.10157592640652228,0.026963091515042212,0.02677003452944493,0.00019836728465705348,0.003845245352506521
order_3_derivative_std,new,higher derivatives,AND_OR_NOT,14,-0.09155975101901075,-0.06580028809419032,0.026219400574178844,0.02602619603535916,0.00019836728465705348,0.006926647012569176
order_3_derivative_max,new,higher derivatives,NAND,9,-0.06697376795528398,-0.08823286915683509,0.011110162579729885,0.010989431908413283,0.00012207217517357137,0.003845245352506521
order_3_derivative_max,new,higher derivatives,NOR,9,-0.06697376795528398,-0.08823286915683509,0.011110162579729885,0.010989431908413283,0.00012207217517357137,0.003845245352506521
order_3_derivative_max,new,higher derivatives,AND_OR_NOT,9,0.011410972844948693,-0.01815764054389744,0.019953841178396232,0.019834190205963997,0.00012207217517357137,0.006926647012569176
mean_certificate_size,new,certificates,NAND,36,0.7830401967088991,0.7949288342518788,0.7016527767466667,0.7014933545663022,0.0005340657663843748,0.008679356832804519
mean_certificate_size,new,certificates,NOR,36,0.7830401967088991,0.7949288342518788,0.7016527767466667,0.7014933545663022,0.0005340657663843748,0.008679356832804519
mean_certificate_size,new,certificates,AND_OR_NOT,36,0.876330630893109,0.8773442226697745,0.8229119016081542,0.8228172743800058,0.0005340657663843748,0.015806493844056302
maximum_certificate_size,new,certificates,NAND,5,0.6207912367892172,0.6251652151397827,0.38727179865130484,0.38723439783634095,6.103608758678569e-05,0.004663722438222884
maximum_certificate_size,new,certificates,NOR,5,0.6207912367892172,0.6251652151397827,0.38727179865130484,0.38723439783634095,6.103608758678569e-05,0.004663722438222773
maximum_certificate_size,new,certificates,AND_OR_NOT,5,0.6046402674215718,0.6038182352782843,0.36823794735865417,0.3681993847209625,6.103608758678569e-05,0.008586617407356223
mean_certificate_size_output_0,new,certificates,NAND,72,0.3176972386358525,0.3197656027044081,0.5492111103934919,0.5487222002877534,0.001083390554665446,0.009687859329573612
mean_certificate_size_output_0,new,certificates,NOR,72,0.7356788763396371,0.757828599825665,0.7465073990154784,0.7462324696700381,0.001083390554665446,0.011552422174085142
mean_certificate_size_output_0,new,certificates,AND_OR_NOT,72,0.5539520387177519,0.5620187760744112,0.6244475082680521,0.6240401969685139,0.001083390554665446,0.013750535870743041
mean_certificate_size_output_1,new,certificates,NAND,72,0.7356788763396389,0.757828599825665,0.7465073990154782,0.746232469670038,0.001083390554665446,0.011552422174085142
mean_certificate_size_output_1,new,certificates,NOR,72,0.3176972386358529,0.3197656027044081,0.549211110393492,0.5487222002877536,0.001083390554665446,0.009687859329573612
mean_certificate_size_output_1,new,certificates,AND_OR_NOT,72,0.5539520387177527,0.5620187760744112,0.6244475082680522,0.624040196968514,0.001083390554665446,0.013750535870743041
constant_faces_codimension_1,new,restrictions,NAND,6,-0.2594683397302689,-0.2440308969689159,0.07407212758537063,0.07400147842678562,7.629510948348211e-05,0.0
constant_faces_codimension_1,new,restrictions,NOR,6,-0.2594683397302689,-0.2440308969689159,0.07407212758537063,0.07400147842678562,7.629510948348211e-05,0.0
constant_faces_codimension_1,new,restrictions,AND_OR_NOT,6,-0.36799522056664813,-0.328166025085079,0.14539556341225066,0.14533035629821223,7.629510948348211e-05,0.0
