truth_table,mean_certificate_size,anf_terms_degree_1,khrapchenko_product,decision_tree_leaf_count,target_NAND,lower_NAND,upper_NAND,position_NAND,target_NOR,lower_NOR,upper_NOR,position_NOR,target_AND_OR_NOT,lower_AND_OR_NOT,upper_AND_OR_NOT,position_AND_OR_NOT,exact_aon_cover_upper
13370,2.5625,2,4.063492063492063,7,12.0,4.063492063492063,19.5,0.5789203084832905,11.0,4.063492063492063,19.5,0.5141388174807198,9.0,4.063492063492063,11.666666666666666,0.7807933194154489,14
13371,2.4375,2,4.0,8,13.0,4.0,21.75,0.5633802816901409,11.0,4.0,21.75,0.4507042253521127,11.0,4.0,13.11111111111111,0.8780487804878049,16
13372,2.25,2,4.063492063492063,6,8.0,4.063492063492063,17.25,0.3743605176045742,8.0,4.063492063492063,17.25,0.3743605176045742,6.0,4.063492063492063,10.0,0.49465240641711233,10
13373,2.5,2,4.0,8,11.0,4.0,21.75,0.4507042253521127,11.0,4.0,21.75,0.4507042253521127,9.0,4.0,13.11111111111111,0.6585365853658537,15
13374,2.5,3,4.0,6,10.0,4.0,17.25,0.5283018867924528,10.0,4.0,17.25,0.5283018867924528,8.0,4.0,10.222222222222221,0.8035714285714287,12
13375,2.25,1,3.111111111111111,6,8.0,3.111111111111111,17.25,0.4165029469548134,10.0,3.111111111111111,17.25,0.5579567779960707,8.0,3.111111111111111,10.0,0.8548387096774194,10
13376,2.4375,0,4.083333333333334,8,13.0,4.083333333333334,21.75,0.5613207547169812,12.0,4.083333333333334,21.75,0.5047169811320755,9.0,4.083333333333334,13.11111111111111,0.6553846153846153,16
13377,2.75,4,5.890909090909092,10,19.0,5.890909090909092,26.25,0.693011832998437,13.0,5.890909090909092,26.25,0.39830319267693676,14.0,5.890909090909092,16.0,0.9010791366906474,22
13378,2.9375,1,5.890909090909092,10,17.0,5.890909090909092,26.25,0.594775619557937,14.0,5.890909090909092,26.25,0.4474212993971868,13.0,5.890909090909092,16.0,0.802158273381295,21
13379,2.875,3,6.666666666666667,9,16.0,6.666666666666667,24.0,0.5961538461538461,13.0,6.666666666666667,24.0,0.4230769230769231,13.0,6.666666666666667,14.555555555555555,0.9295774647887324,21
13380,2.375,1,3.5636363636363635,7,10.0,3.5636363636363635,19.5,0.4666286366229321,9.0,3.5636363636363635,19.5,0.4038790644609241,7.0,3.5636363636363635,11.666666666666666,0.5474943904263277,14
13381,2.5625,3,4.266666666666667,9,13.0,4.266666666666667,24.0,0.49324324324324326,12.0,4.266666666666667,24.0,0.4425675675675676,11.0,4.266666666666667,14.555555555555555,0.7516198704103673,17
13382,2.8125,2,5.4,9,15.0,5.4,24.0,0.5698924731182795,14.0,5.4,24.0,0.5161290322580645,11.0,5.4,14.555555555555555,0.720873786407767,19
13383,2.75,2,5.142857142857143,8,13.0,5.142857142857143,21.75,0.5333333333333333,12.0,5.142857142857143,21.75,0.47311827956989244,10.0,5.142857142857143,13.11111111111111,0.7350597609561753,16
13384,2.8125,0,5.890909090909092,10,17.0,5.890909090909092,26.25,0.594775619557937,15.0,5.890909090909092,26.25,0.49653940611743685,12.0,5.890909090909092,16.0,0.7032374100719424,22
13385,3.3125,4,8.066666666666666,12,21.0,8.066666666666666,30.75,0.6142542248346804,17.0,8.066666666666666,30.75,0.43791329904482,16.0,8.066666666666666,18.88888888888889,0.8254620123203286,28
13386,3.125,1,6.666666666666667,10,16.0,6.666666666666667,26.25,0.5276595744680851,15.0,6.666666666666667,26.25,0.47659574468085103,13.0,6.666666666666667,16.0,0.7857142857142858,21
13387,3.1875,3,7.682539682539683,11,18.0,7.682539682539683,28.5,0.5436523065192528,17.0,7.682539682539683,28.5,0.49561570720548986,15.0,7.682539682539683,17.444444444444443,0.8520325203252034,25
13388,2.625,1,4.266666666666667,9,12.0,4.266666666666667,24.0,0.4425675675675676,12.0,4.266666666666667,24.0,0.4425675675675676,9.0,4.266666666666667,14.555555555555555,0.5572354211663068,18
13389,3.0,3,5.142857142857143,11,15.0,5.142857142857143,28.5,0.4648318042813456,14.0,5.142857142857143,28.5,0.42201834862385323,13.0,5.142857142857143,17.444444444444443,0.7200000000000001,21
13390,3.0,2,5.142857142857143,9,14.0,5.142857142857143,24.0,0.5227272727272727,14.0,5.142857142857143,24.0,0.5227272727272727,11.0,5.142857142857143,14.555555555555555,0.7284991568296797,18
13391,2.75,2,5.0625,9,12.0,5.0625,24.0,0.41914191419141916,14.0,5.0625,24.0,0.5247524752475248,10.0,5.0625,14.555555555555555,0.6254572055596196,16
13392,2.4375,1,3.5636363636363635,8,13.0,3.5636363636363635,21.75,0.5738565358660335,10.0,3.5636363636363635,21.75,0.40889777555611095,9.0,3.5636363636363635,13.11111111111111,0.6741430385103682,15
13393,2.625,3,4.266666666666667,9,15.0,4.266666666666667,24.0,0.5945945945945946,12.0,4.266666666666667,24.0,0.4425675675675676,12.0,4.266666666666667,14.555555555555555,0.8488120950323976,19
13394,2.875,2,5.4,10,17.0,5.4,26.25,0.6043165467625898,14.0,5.4,26.25,0.46043165467625896,13.0,5.4,16.0,0.8113207547169812,21
13395,2.8125,2,5.142857142857143,9,16.0,5.142857142857143,24.0,0.6287878787878788,14.0,5.142857142857143,24.0,0.5227272727272727,13.0,5.142857142857143,14.555555555555555,0.9409780775716696,19
13396,2.4375,2,3.2666666666666666,7,11.0,3.2666666666666666,19.5,0.5379876796714579,9.0,3.2666666666666666,19.5,0.41478439425051333,8.0,3.2666666666666666,11.666666666666666,0.6825396825396827,13
13397,2.3125,2,3.111111111111111,7,10.0,3.111111111111111,19.5,0.48135593220338985,10.0,3.111111111111111,19.5,0.48135593220338985,9.0,3.111111111111111,11.666666666666666,0.8051948051948052,12
13398,2.8125,3,5.142857142857143,9,16.0,5.142857142857143,24.0,0.6287878787878788,14.0,5.142857142857143,24.0,0.5227272727272727,12.0,5.142857142857143,14.555555555555555,0.8347386172006747,19
13399,2.5,1,4.0,8,13.0,4.0,21.75,0.5633802816901409,13.0,4.0,21.75,0.5633802816901409,11.0,4.0,13.11111111111111,0.8780487804878049,15
13400,2.875,1,5.4,9,15.0,5.4,24.0,0.5698924731182795,13.0,5.4,24.0,0.4623655913978494,12.0,5.4,14.555555555555555,0.8300970873786407,21
13401,3.1875,3,6.34920634920635,11,18.0,6.34920634920635,28.5,0.5711214618416338,16.0,6.34920634920635,28.5,0.48083124328197774,15.0,6.34920634920635,17.444444444444443,0.8698140200286124,25
13402,3.0625,2,6.34920634920635,9,16.0,6.34920634920635,24.0,0.6034172661870503,14.0,6.34920634920635,24.0,0.4901079136690647,12.0,6.34920634920635,14.555555555555555,0.8104448742746615,20
13403,3.125,2,6.25,10,18.0,6.25,26.25,0.6375,16.0,6.25,26.25,0.5375,14.0,6.25,16.0,0.8974358974358975,23
13404,2.75,2,4.063492063492063,8,12.0,4.063492063492063,21.75,0.5052726048911824,12.0,4.063492063492063,21.75,0.5052726048911824,10.0,4.063492063492063,13.11111111111111,0.7666666666666667,15
13405,2.75,2,4.0,9,10.0,4.0,24.0,0.35,14.0,4.0,24.0,0.55,10.0,4.0,14.555555555555555,0.6631578947368422,16
13406,3.0,3,5.0625,8,14.0,5.0625,21.75,0.5955056179775281,14.0,5.0625,21.75,0.5955056179775281,12.0,5.0625,13.11111111111111,0.9861949956859362,18
13407,2.625,1,4.063492063492063,8,10.0,4.063492063492063,21.75,0.3921920574377384,13.0,4.063492063492063,21.75,0.5618128786179044,10.0,4.063492063492063,13.11111111111111,0.7666666666666667,14
13408,2.5625,0,4.654545454545455,9,14.0,4.654545454545455,24.0,0.5347744360902256,12.0,4.654545454545455,24.0,0.431390977443609,10.0,4.654545454545455,14.555555555555555,0.6408896143644154,17
13409,2.875,4,6.666666666666667,11,20.0,6.666666666666667,28.5,0.6564885496183206,15.0,6.666666666666667,28.5,0.42748091603053434,15.0,6.666666666666667,17.444444444444443,0.8659793814432991,26
13410,2.875,1,5.4,9,15.0,5.4,24.0,0.5698924731182795,13.0,5.4,24.0,0.4623655913978494,12.0,5.4,14.555555555555555,0.8300970873786407,20
13411,2.9375,3,6.34920634920635,10,17.0,6.34920634920635,26.25,0.5854436689930209,14.0,6.34920634920635,26.25,0.4346959122632103,14.0,6.34920634920635,16.0,0.8963815789473684,23
13412,2.5,1,4.266666666666667,8,11.0,4.266666666666667,21.75,0.44232602478551,10.0,4.266666666666667,21.75,0.38512869399428024,8.0,4.266666666666667,13.11111111111111,0.5351758793969849,15
13413,2.6875,3,5.142857142857143,10,14.0,5.142857142857143,26.25,0.467005076142132,13.0,5.142857142857143,26.25,0.4196277495769882,12.0,5.142857142857143,16.0,0.7236842105263157,21
13414,2.75,2,5.142857142857143,8,12.0,5.142857142857143,21.75,0.47311827956989244,12.0,5.142857142857143,21.75,0.47311827956989244,10.0,5.142857142857143,13.11111111111111,0.7350597609561753,17
